"Date","LAST","OPEN","HIGH","LOW","Vol","Var"
"31.07.2023","178,05","178,35","178,65","176,80","10,75K","-0,06%"
"28.07.2023","178,15","178,45","179,07","178,00","9,26K","0,06%"
"27.07.2023","178,05","178,78","178,93","177,95","6,60K","-0,35%"
"26.07.2023","178,68","178,25","178,97","177,88","5,87K","0,21%"
"25.07.2023","178,30","179,45","179,60","177,90","8,34K","-0,25%"
"24.07.2023","178,75","179,00","180,38","178,55","13,23K","-0,71%"
"21.07.2023","180,03","180,90","181,22","179,53","12,28K","-0,16%"
"20.07.2023","180,32","181,50","182,97","179,32","23,44K","-0,55%"
"19.07.2023","181,32","180,90","181,88","180,05","13,94K","0,02%"
"18.07.2023","181,28","180,10","181,53","179,82","17,42K","0,64%"
"17.07.2023","180,12","180,55","181,60","179,70","28,25K","-0,03%"
"14.07.2023","180,18","176,90","180,38","176,78","44,09K","1,85%"
"13.07.2023","176,90","176,78","177,10","175,20","38,93K","0,01%"
"12.07.2023","176,88","179,00","181,18","176,53","53,06K","-1,08%"
"11.07.2023","178,82","176,95","179,40","176,45","42,55K","0,91%"
"10.07.2023","177,20","176,97","178,00","176,15","41,15K","0,11%"
"07.07.2023","177,00","174,72","177,20","174,30","29,45K","1,39%"
"06.07.2023","174,57","174,45","175,07","173,43","27,26K","-0,22%"
"05.07.2023","174,95","176,50","176,97","174,78","24,85K","-1,06%"
"03.07.2023","176,82","176,88","177,35","176,10","19,59K","-2,58%"
"30.06.2023","181,50","179,90","181,50","179,15","0,08K","0,97%"
"29.06.2023","179,75","180,10","180,20","179,50","0,62K","0,07%"
"28.06.2023","179,62","179,35","180,40","179,10","0,84K","0,18%"
"27.06.2023","179,30","178,00","179,55","177,90","1,05K","0,90%"
"26.06.2023","177,70","177,30","177,97","177,03","0,51K","0,11%"
"23.06.2023","177,50","177,88","178,22","177,15","0,97K","-0,08%"
"22.06.2023","177,65","177,75","177,90","176,75","1,26K","0,23%"
"21.06.2023","177,25","177,20","177,57","176,25","1,38K","0,07%"
"20.06.2023","177,12","178,65","178,65","176,62","1,32K","-0,83%"
"18.06.2023","178,60","178,60","178,60","178,60","","0,14%"
"16.06.2023","178,35","177,57","178,90","177,00","1,28K","0,44%"
"15.06.2023","177,57","177,45","178,18","176,30","1,18K","0,07%"
"14.06.2023","177,45","179,55","179,60","177,25","1,92K","-1,10%"
"13.06.2023","179,43","179,07","179,60","178,50","1,10K","0,20%"
"12.06.2023","179,07","178,80","179,20","178,15","1,46K","0,48%"
"09.06.2023","178,22","179,18","180,18","177,28","3,77K","-0,31%"
"08.06.2023","178,78","179,68","180,32","178,50","3,47K","-0,12%"
"07.06.2023","179,00","181,00","182,88","177,62","6,93K","-0,46%"
"06.06.2023","179,82","177,75","180,25","177,03","5,33K","1,51%"
"05.06.2023","177,15","177,50","178,18","176,53","3,73K","0,41%"
"02.06.2023","176,43","175,03","176,88","175,00","13,37K","0,87%"
"01.06.2023","174,90","169,35","175,00","169,00","20,61K","3,42%"
"31.05.2023","169,12","168,65","169,28","168,03","14,08K","0,14%"
"30.05.2023","168,88","167,70","169,00","167,50","12,20K","0,96%"
"28.05.2023","167,27","167,27","167,27","167,27","10,70K","-0,04%"
"26.05.2023","167,35","167,47","168,40","167,10","10,91K","0,03%"
"25.05.2023","167,30","166,60","167,45","166,00","12,93K","0,72%"
"24.05.2023","166,10","164,28","166,50","163,65","15,42K","1,11%"
"23.05.2023","164,28","165,65","165,82","164,12","8,13K","-0,47%"
"22.05.2023","165,05","165,65","165,65","164,50","8,10K","-0,40%"
"19.05.2023","165,72","165,53","166,22","164,82","12,57K","0,11%"
"18.05.2023","165,53","164,88","165,72","164,32","12,91K","0,43%"
"17.05.2023","164,82","164,07","164,93","162,93","19,28K","0,57%"
"16.05.2023","163,88","164,32","164,55","163,65","13,16K","-0,27%"
"15.05.2023","164,32","164,62","164,72","163,57","23,87K","-0,05%"
"12.05.2023","164,40","163,15","164,62","162,90","29,11K","0,89%"
"11.05.2023","162,95","162,97","163,45","162,30","34,08K","-0,03%"
"10.05.2023","163,00","163,72","164,55","162,68","41,58K","-0,57%"
"09.05.2023","163,93","162,60","164,15","161,88","45,24K","0,92%"
"08.05.2023","162,43","161,93","162,82","161,78","28,21K","0,31%"
"05.05.2023","161,93","162,10","163,12","161,80","38,90K","0,22%"
"04.05.2023","161,57","161,72","162,35","161,35","26,94K","-0,05%"
"03.05.2023","161,65","162,80","162,80","161,20","36,75K","-0,77%"
"02.05.2023","162,90","164,80","164,80","162,55","32,68K","-1,20%"
"01.05.2023","164,88","165,20","165,78","164,47","24,37K","-5,88%"
"28.04.2023","175,18","175,90","177,10","174,50","0,32K","-0,15%"
"27.04.2023","175,45","174,85","175,50","174,45","0,60K","0,53%"
"26.04.2023","174,53","174,30","174,65","174,18","1,06K","0,13%"
"25.04.2023","174,30","174,25","174,40","173,90","0,71K","0,00%"
"24.04.2023","174,30","173,30","174,45","173,30","0,72K","0,19%"
"21.04.2023","173,97","174,12","174,88","172,70","1,56K","-0,07%"
"20.04.2023","174,10","175,43","175,43","173,53","1,90K","-0,76%"
"19.04.2023","175,43","176,68","177,00","174,60","2,52K","-0,59%"
"18.04.2023","176,47","175,90","176,62","175,28","1,83K","0,41%"
"17.04.2023","175,75","174,85","175,93","174,70","1,10K","0,57%"
"14.04.2023","174,75","175,18","175,45","174,68","1,57K","-0,43%"
"13.04.2023","175,50","175,78","177,70","175,18","5,05K","0,70%"
"12.04.2023","174,28","172,32","174,32","172,30","2,95K","1,15%"
"11.04.2023","172,30","171,82","172,47","171,45","2,74K","0,54%"
"10.04.2023","171,38","171,60","171,78","170,88","4,14K","0,18%"
"06.04.2023","171,07","170,40","171,43","169,93","14,59K","1,59%"
"05.04.2023","168,40","167,75","168,78","167,53","8,71K","0,48%"
"04.04.2023","167,60","168,30","168,70","167,45","7,82K","-0,31%"
"03.04.2023","168,12","168,40","169,43","167,72","9,38K","-0,14%"
"31.03.2023","168,35","167,82","168,53","167,55","9,36K","0,48%"
"30.03.2023","167,55","165,75","167,65","165,75","11,94K","1,04%"
"29.03.2023","165,82","165,05","165,88","164,93","7,49K","0,53%"
"28.03.2023","164,95","164,80","165,03","164,55","5,85K","0,03%"
"27.03.2023","164,90","163,30","164,95","163,25","10,02K","1,17%"
"24.03.2023","163,00","162,05","163,30","161,75","8,14K","0,52%"
"23.03.2023","162,15","162,47","162,50","161,82","7,14K","-0,09%"
"22.03.2023","162,30","162,45","162,65","160,62","15,07K","-0,08%"
"21.03.2023","162,43","162,28","162,88","161,70","15,88K","0,25%"
"20.03.2023","162,03","163,10","163,10","161,93","11,67K","-0,18%"
"17.03.2023","162,32","162,43","162,65","161,55","21,54K","-0,02%"
"16.03.2023","162,35","161,80","162,80","161,43","24,72K","0,50%"
"15.03.2023","161,55","162,78","162,90","161,10","32,88K","-0,92%"
"14.03.2023","163,05","163,80","163,90","162,88","29,86K","-0,31%"
"13.03.2023","163,55","163,65","164,00","162,53","43,21K","-0,44%"
"10.03.2023","164,28","164,80","165,25","164,22","31,03K","-0,32%"
"09.03.2023","164,80","165,40","165,68","164,50","32,08K","-0,39%"
"08.03.2023","165,45","165,90","165,93","164,78","39,22K","-0,31%"
"07.03.2023","165,97","166,10","166,55","165,47","27,48K","-0,08%"
"06.03.2023","166,10","165,45","166,68","165,07","26,30K","0,41%"
"03.03.2023","165,43","164,12","165,85","164,07","28,52K","0,81%"
"02.03.2023","164,10","165,12","165,15","163,85","23,39K","-0,62%"
"01.03.2023","165,12","165,32","166,10","164,50","27,36K","-1,42%"
"28.02.2023","167,50","164,82","167,50","164,82","0,15K","1,52%"
"27.02.2023","165,00","165,20","165,38","164,85","0,68K","-0,12%"
"24.02.2023","165,20","165,38","165,68","164,50","1,32K","0,03%"
"23.02.2023","165,15","165,40","165,65","164,75","1,72K","0,15%"
"22.02.2023","164,90","164,80","165,05","164,28","0,84K","0,09%"
"21.02.2023","164,75","163,70","164,97","163,53","2,36K","0,83%"
"19.02.2023","163,40","163,40","163,40","163,40","","-0,10%"
"17.02.2023","163,57","162,85","164,07","162,53","2,75K","0,49%"
"16.02.2023","162,78","162,62","162,82","162,25","1,70K","0,14%"
"15.02.2023","162,55","162,30","162,80","161,90","3,17K","0,25%"
"14.02.2023","162,15","162,07","162,35","161,60","1,85K","-0,08%"
"13.02.2023","162,28","161,82","162,28","161,70","2,65K","0,67%"
"10.02.2023","161,20","160,93","161,32","160,70","4,12K","0,24%"
"09.02.2023","160,82","160,88","161,43","160,65","2,23K","0,01%"
"08.02.2023","160,80","160,75","161,50","160,30","3,07K","0,14%"
"07.02.2023","160,57","160,93","161,20","160,47","4,05K","-0,16%"
"06.02.2023","160,82","160,50","161,00","160,25","7,70K","0,34%"
"03.02.2023","160,28","159,75","160,47","159,50","10,46K","0,33%"
"02.02.2023","159,75","158,55","159,90","158,55","10,42K","0,83%"
"01.02.2023","158,43","159,07","159,15","158,35","13,72K","-0,26%"
"31.01.2023","158,85","158,57","159,07","158,55","9,91K","0,06%"
"30.01.2023","158,75","157,05","158,88","157,05","20,58K","1,30%"
"27.01.2023","156,72","156,72","157,00","156,50","12,54K","0,00%"
"26.01.2023","156,72","157,35","157,60","156,68","12,61K","-0,56%"
"25.01.2023","157,60","157,65","157,85","157,15","13,10K","-0,16%"
"24.01.2023","157,85","157,22","157,97","157,00","10,59K","0,24%"
"23.01.2023","157,47","156,60","157,60","156,20","11,29K","0,54%"
"20.01.2023","156,62","155,95","156,80","155,70","8,82K","0,43%"
"19.01.2023","155,95","156,72","156,72","155,38","19,59K","-0,54%"
"18.01.2023","156,80","157,18","157,57","156,72","14,51K","-0,13%"
"17.01.2023","157,00","157,65","157,65","156,32","32,50K","-0,54%"
"15.01.2023","157,85","157,85","157,85","157,85","","0,08%"
"13.01.2023","157,72","157,68","158,15","156,90","35,70K","0,11%"
"12.01.2023","157,55","157,80","158,00","156,95","32,30K","-0,13%"
"11.01.2023","157,75","157,85","157,95","157,05","43,40K","0,00%"
"10.01.2023","157,75","157,60","158,82","157,55","43,79K","0,00%"
"09.01.2023","157,75","156,70","158,18","156,53","44,40K","0,62%"
"06.01.2023","156,78","157,35","157,47","156,60","22,69K","-0,36%"
"05.01.2023","157,35","157,18","157,60","156,78","23,52K","0,04%"
"04.01.2023","157,28","157,03","157,85","156,93","24,29K","0,27%"
"03.01.2023","156,85","158,15","158,15","156,65","28,39K","-0,68%"
"01.01.2023","157,93","157,93","157,93","157,93","","2,01%"
"30.12.2022","154,82","158,50","158,50","154,82","0,06K","-2,32%"
"29.12.2022","158,50","157,53","158,68","157,20","0,31K","0,67%"
"28.12.2022","157,45","156,90","157,50","156,60","0,41K","0,40%"
"27.12.2022","156,82","156,85","157,15","156,55","0,49K","0,27%"
"25.12.2022","156,40","156,40","156,40","156,40","","-0,32%"
"23.12.2022","156,90","156,45","157,18","155,75","0,91K","0,64%"
"22.12.2022","155,90","156,12","156,15","155,82","0,55K","-0,14%"
"21.12.2022","156,12","155,05","156,35","154,97","1,33K","0,69%"
"20.12.2022","155,05","155,00","155,40","154,80","0,82K","-0,15%"
